[20:42:50] [ServerMain/INFO]: Building unoptimized datafixer
[20:42:52] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:42:57] [ServerMain/INFO]: Loaded 7 recipes
[20:42:59] [Server thread/INFO]: Starting minecraft server version 1.19
[20:42:59] [Server thread/INFO]: Loading properties
[20:42:59] [Server thread/INFO]: Default game type: SURVIVAL
[20:43:00] [Server thread/INFO]: Generating keypair
[20:43:01] [Server thread/INFO]: Starting Minecraft server on localhost:25565
[20:43:05] [Server thread/INFO]: Using default channel type
[20:43:07] [Server thread/INFO]: This server is running CraftBukkit version 3539-Bukkit-82f7574 (MC: 1.19) (Implementing API version 1.19-R0.1-SNAPSHOT)
[20:43:08] [Server thread/WARN]: Initializing Legacy Material Support. Unless you have legacy plugins and/or data this is a bug!
[20:43:23] [Server thread/WARN]: Legacy plugin RaspberryJuice v1.12.1 does not specify an api-version.
[20:43:25] [Server thread/INFO]: [RaspberryJuice] Loading RaspberryJuice v1.12.1
[20:43:25] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:43:25] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:43:25] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:43:25] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:43:25] [Server thread/INFO]: Preparing level "world"
[20:43:32] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:44:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:29] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:35] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:44:35] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[20:44:36] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[20:44:36] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[20:44:37] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[20:44:38] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[20:44:38] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[20:44:38] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[20:44:39] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[20:44:39] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[20:44:42] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[20:44:42] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[20:44:42] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[20:44:42] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[20:44:42] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[20:44:43] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[20:44:43] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[20:44:43] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[20:44:44] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[20:44:44] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[20:44:45] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[20:44:46] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[20:44:46] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[20:44:46] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[20:44:47] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[20:44:47] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[20:44:48] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[20:44:48] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[20:44:49] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[20:44:49] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[20:44:50] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[20:44:51] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[20:44:51] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[20:44:51] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[20:44:52] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[20:44:53] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[20:44:53] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[20:44:53] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[20:44:54] [Worker-Main-3/INFO]: Preparing spawn area: 84%
